Module_Code,Source,Course_Level,Duration,Prerequisites,Prework,Course_Learning_Material,Course_Learning_Material_Link,Type_Free_Paid
DLA:llmops,"DeepLearning.AI,Google Cloud",Beginner,,Yes,Yes,LLMOps,https://www.deeplearning.ai//short-courses/llmops,Paid
DLA:automated-testing-llmops,"DeepLearning.AI,CircleCI",Intermediate,,Yes,Yes,Automated Testing for LLMOps,https://www.deeplearning.ai//short-courses/automated-testing-llmops,Paid
DLA:building-applications-vector-databases,"Pinecone,DeepLearning.AI",Beginner,,Yes,Yes,Building Applications with Vector Databases,https://www.deeplearning.ai//short-courses/building-applications-vector-databases,Paid
DLA:serverless-llm-apps-amazon-bedrock,"AWS,DeepLearning.AI",Intermediate,,Yes,Yes,Serverless LLM apps with Amazon Bedrock,https://www.deeplearning.ai//short-courses/serverless-llm-apps-amazon-bedrock,Paid
DLA:prompt-engineering-with-llama-2,"Meta,DeepLearning.AI",Beginner,,Yes,Yes,Prompt Engineering with Llama 2 & 3,https://www.deeplearning.ai//short-courses/prompt-engineering-with-llama-2,Paid
DLA:open-source-models-hugging-face,"DeepLearning.AI,Hugging Face",Beginner,,Yes,Yes,Open Source Models with Hugging Face,https://www.deeplearning.ai//short-courses/open-source-models-hugging-face,Paid
DLA:knowledge-graphs-rag,"DeepLearning.AI,Neo4j",Intermediate,,Yes,Yes,Knowledge Graphs for RAG,https://www.deeplearning.ai//short-courses/knowledge-graphs-rag,Paid
DLA:efficiently-serving-llms,"DeepLearning.AI,Predibase",Intermediate,,Yes,Yes,Efficiently Serving LLMs,https://www.deeplearning.ai//short-courses/efficiently-serving-llms,Paid
DLA:javascript-rag-web-apps-with-llamaindex,"LlamaIndex,DeepLearning.AI",Beginner,,Yes,Yes,JavaScript RAG Web Apps with LlamaIndex,https://www.deeplearning.ai//short-courses/javascript-rag-web-apps-with-llamaindex,Paid
DLA:red-teaming-llm-applications,"DeepLearning.AI,Giskard",Beginner,,Yes,Yes,Red Teaming LLM Applications,https://www.deeplearning.ai//short-courses/red-teaming-llm-applications,Paid
DLA:preprocessing-unstructured-data-for-llm-applications,"Unstructured,DeepLearning.AI",Beginner,,Yes,Yes,Preprocessing Unstructured Data for LLM Applications,https://www.deeplearning.ai//short-courses/preprocessing-unstructured-data-for-llm-applications,Paid
DLA:quantization-fundamentals-with-hugging-face,"DeepLearning.AI,Hugging Face",Beginner,,Yes,Yes,Quantization Fundamentals with Hugging Face,https://www.deeplearning.ai//short-courses/quantization-fundamentals-with-hugging-face,Paid
DLA:getting-started-with-mistral,"DeepLearning.AI,Mistral AI",Beginner,,Yes,Yes,Getting Started With Mistral,https://www.deeplearning.ai//short-courses/getting-started-with-mistral,Paid
DLA:prompt-engineering-for-vision-models,"Comet,DeepLearning.AI",Beginner,,Yes,Yes,Prompt Engineering for Vision Models,https://www.deeplearning.ai//short-courses/prompt-engineering-for-vision-models,Paid
DLA:quantization-in-depth,"DeepLearning.AI,Hugging Face",Intermediate,,Yes,Yes,Quantization in Depth,https://www.deeplearning.ai//short-courses/quantization-in-depth,Paid
DLA:machine-learning-in-production,DeepLearning.AI,Intermediate,4 months,Yes,Yes,Machine Learning in Production,https://www.deeplearning.ai//courses/machine-learning-in-production,Paid
DLA:building-agentic-rag-with-llamaindex,"LlamaIndex,DeepLearning.AI",Beginner,,Yes,Yes,Building Agentic RAG with LlamaIndex,https://www.deeplearning.ai//short-courses/building-agentic-rag-with-llamaindex,Paid
DLA:building-multimodal-search-and-rag,"Weaviate,DeepLearning.AI",Intermediate,,Yes,Yes,Building Multimodal Search and RAG,https://www.deeplearning.ai//short-courses/building-multimodal-search-and-rag,Paid
DLA:multi-ai-agent-systems-with-crewai,"DeepLearning.AI,crewAI",Beginner,,Yes,Yes,Multi AI Agent Systems with crewAI,https://www.deeplearning.ai//short-courses/multi-ai-agent-systems-with-crewai,Paid
DLA:introduction-to-on-device-ai,"DeepLearning.AI,Qualcomm",Beginner,,Yes,Yes,Introduction to On-Device AI,https://www.deeplearning.ai//short-courses/introduction-to-on-device-ai,Paid
DLA:ai-agentic-design-patterns-with-autogen,"Microsoft,DeepLearning.AI,Penn State University",Beginner,,Yes,Yes,AI Agentic Design Patterns with AutoGen,https://www.deeplearning.ai//short-courses/ai-agentic-design-patterns-with-autogen,Paid
DLA:ai-agents-in-langgraph,"LangChain,Tavily,DeepLearning.AI",Intermediate,,Yes,Yes,AI Agents in LangGraph,https://www.deeplearning.ai//short-courses/ai-agents-in-langgraph,Paid
DLA:building-your-own-database-agent,"Microsoft,DeepLearning.AI",Beginner,,Yes,No,Building Your Own Database Agent,https://www.deeplearning.ai//short-courses/building-your-own-database-agent,Paid
DLA:function-calling-and-data-extraction-with-llms,"DeepLearning.AI,Nexusflow",Beginner,,Yes,Yes,Function-Calling and Data Extraction with LLMs,https://www.deeplearning.ai//short-courses/function-calling-and-data-extraction-with-llms,Paid
DLA:carbon-aware-computing-for-genai-developers,"DeepLearning.AI,Google Cloud",Beginner,,Yes,Yes,Carbon Aware Computing for GenAI Developers,https://www.deeplearning.ai//short-courses/carbon-aware-computing-for-genai-developers,Paid
DLA:prompt-compression-and-query-optimization,"DeepLearning.AI,MongoDB",Intermediate,,Yes,No,Prompt Compression and Query Optimization,https://www.deeplearning.ai//short-courses/prompt-compression-and-query-optimization,Paid
DLA:generative-ai-for-software-development,DeepLearning.AI,Intermediate,15 hours,Yes,No,Generative AI for Software Development,https://www.deeplearning.ai//courses/generative-ai-for-software-development,Paid
DLA:pretraining-llms,"DeepLearning.AI,Upstage",Intermediate,,Yes,No,Pretraining LLMs,https://www.deeplearning.ai//short-courses/pretraining-llms,Paid
DLA:intro-to-federated-learning,"DeepLearning.AI,Flower Labs",Beginner,,Yes,Yes,Federated Learning,https://www.deeplearning.ai//short-courses/intro-to-federated-learning,Paid
DLA:embedding-models-from-architecture-to-implementation,"DeepLearning.AI,Vectara",Beginner,,Yes,Yes,Embedding Models: From Architecture to Implementation,https://www.deeplearning.ai//short-courses/embedding-models-from-architecture-to-implementation,Paid
DLA:data-engineering,DeepLearning.AI,Intermediate,15 weeks,Yes,Yes,Data Engineering,https://www.deeplearning.ai//courses/data-engineering,Paid
DLA:ai-python-for-beginners,DeepLearning.AI,Beginner,,Yes,Yes,AI Python for Beginners,https://www.deeplearning.ai//short-courses/ai-python-for-beginners,Paid
