Course / Learning material,Source,Course Level,Type (Free or Paid),Module,Duration,"Module / Sub-module 
Difficulty level",Keywords / Tags / Skills / Interests / Categories,Links
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Guidelines - ML Systems in the Real World,2 mins,Easy to Medium,"real world, guidelines, ml systems",https://developers.google.com/machine-learning/crash-course/real-world-guidelines
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Glossary - Machine Learning Crash Course (Foundation),,Easy to Medium,"glossary, machine learning",https://developers.google.com/machine-learning/glossary
Problem Framing (ML related),Google Developers,Beginners to Intermediate,Free,Overview - Introduction to Machine Learning Problem Framing,5mins,Easy,"ML Problems, samples,solution, machine, label",https://developers.google.com/machine-learning/problem-framing
Problem Framing (ML related),Google Developers,Beginners to Intermediate,Free,Overview - Problem Framing,5mins,Medium,"problems, framing, data, samples, approach, steps, solution",https://developers.google.com/machine-learning/problem-framing/problem-framing
Problem Framing (ML related),Google Developers,Beginners to Intermediate,Free,ML Problem Framing - Understanding the Problem,25 minutes,Medium,"data, ml, solution, dataset, user, prediction, predictions",https://developers.google.com/machine-learning/problem-framing/problem
Problem Framing (ML related),Google Developers,Beginners to Intermediate,Free,ML Problem Framing - Framing an ML problem,15mins,Medium,"model, prediction, regression, metrics, proxy, users, outcome ",https://developers.google.com/machine-learning/problem-framing/ml-framing
Problem Framing (ML related),Google Developers,Beginners to Intermediate,Free,Conclusion - Implementing a model,10mins,Medium,"model, models, data, prediction, outcome, inference, ml, alert, server ",https://developers.google.com/machine-learning/problem-framing/implement-model
Problem Framing (ML related),Google Developers,Beginners to Intermediate,Free,Conclusion - Summary and next steps,10 minutes,Medium,"licence, content, code, preference, oracle, developers, label",https://developers.google.com/machine-learning/problem-framing/summary
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Decision Forests,2.5 hours,Medium to Hard,"Machine Learning, Advance Machine Learning, Decision Trees, Neural Network, Decision Forests,Hyperparamters",https://developers.google.com/machine-learning/decision-forests
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What's in this Course ?,5 minutes,Easy,"Decision Trees, Decision Forests, classification, regression, uplift modeling",https://developers.google.com/machine-learning/decision-forests
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What's in this Course: Course Introduction,2 minutes,Easy,"Decision Trees, Decision Forests, classification, regression, uplift modeling",https://developers.google.com/machine-learning/decision-forests
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What's in this Course: Appropriate Data,3 minutes,Easy,"Decision Trees, Decision Forests, preprocessing, imputation",https://developers.google.com/machine-learning/decision-forests/appropriate-data
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Decision Trees ?,16 minutes,Medium to Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node",https://developers.google.com/machine-learning/decision-forests/decision-trees
