Course_Learning_Material,Source,Course_Level,Type,Module,Difficulty_Level,Keywords_Tags_Skills_Interests_Categories,Links,Duration_in_minutes
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Get to Know Your Data: Improve Data through Exploratory Data Analysis: How is EDA used in machine learning?,Medium,"Machine learning,EDA,BigQuery,",https://www.cloudskillsboost.google/course_sessions/4846710/video/410381,4
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Get to Know Your Data: Improve Data through Exploratory Data Analysis: Data analysis and visualization,Medium,"Machine learning,EDA,BigQuery,",https://www.cloudskillsboost.google/course_sessions/4846710/video/410382,3
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Get to Know Your Data: Improve Data through Exploratory Data Analysis: Lab intro: Explore the data using Python and BigQuery,Medium,"Machine learning,EDA,BigQuery,",https://www.cloudskillsboost.google/course_sessions/4846710/video/410383,1
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Get to Know Your Data: Improve Data through Exploratory Data Analysis: Exploratory Data Analysis Using Python and BigQuery,Medium,"Machine learning,EDA,BigQuery,",https://www.cloudskillsboost.google/course_sessions/4846710/labs/410384,120
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Get to Know Your Data: Improve Data through Exploratory Data Analysis: Get to know your data: Improve data through Exploratory Data Analysis,Medium,"Machine learning,EDA,BigQuery,",https://www.cloudskillsboost.google/course_sessions/4846710/quizzes/410385,5
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Get to Know Your Data: Improve Data through Exploratory Data Analysis: Resources: Get to Know Your Data: Improve Data through Exploratory Data Analysis,Medium,"Machine learning,EDA,BigQuery,",https://www.cloudskillsboost.google/course_sessions/4846710/documents/410386,10
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Machine Learning in Practice,Medium,"Machine Learning,Supervised learning,Linear Regression,",https://www.cloudskillsboost.google/course_sessions/4846710/video/410387,178
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Machine Learning in Practice: Introduction,Medium,"Machine Learning,Supervised learning,Linear Regression,",https://www.cloudskillsboost.google/course_sessions/4846710/video/410387,1
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Machine Learning in Practice: Supervised learning,Medium,"Machine Learning,Supervised learning,Linear Regression,",https://www.cloudskillsboost.google/course_sessions/4846710/video/410388,5
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Machine Learning in Practice: Linear regression,Medium,"Machine Learning,Supervised learning,Linear Regression,",https://www.cloudskillsboost.google/course_sessions/4846710/video/410389,11
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Machine Learning in Practice: Lab intro: Introduction to linear regression,Medium,"Machine Learning,Supervised learning,Linear Regression,",https://www.cloudskillsboost.google/course_sessions/4846710/video/410390,1
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Machine Learning in Practice: Lab Demo: Intro to Linear Regression,Medium,"Machine Learning,Supervised learning,Linear Regression,",https://www.cloudskillsboost.google/course_sessions/4846710/video/410391,12
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Machine Learning in Practice: Introduction to Linear Regression,Medium,"Machine Learning,Supervised learning,Linear Regression,",https://www.cloudskillsboost.google/course_sessions/4846710/labs/410392,120
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Machine Learning in Practice: Logistic regression,Medium,"Machine Learning,Supervised learning,Linear Regression,",https://www.cloudskillsboost.google/course_sessions/4846710/video/410393,16
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Machine Learning in Practice: Machine Learning in Practice,Medium,"Machine Learning,Supervised learning,Linear Regression,",https://www.cloudskillsboost.google/course_sessions/4846710/quizzes/410394,5
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Machine Learning in Practice: Resources: Machine Learning in Practice,Medium,"Machine Learning,Supervised learning,Linear Regression,",https://www.cloudskillsboost.google/course_sessions/4846710/documents/410395,8
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Training AutoML Models Using Vertex AI,Medium,"AutoML,Vertex AI,Regression models",https://www.cloudskillsboost.google/course_sessions/4846710/video/410396,45
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Training AutoML Models Using Vertex AI: Introduction,Medium,"AutoML,Vertex AI,Regression models",https://www.cloudskillsboost.google/course_sessions/4846710/video/410396,1
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Training AutoML Models Using Vertex AI: Machine learning vs. deep learning,Medium,"AutoML,Vertex AI,Regression models",https://www.cloudskillsboost.google/course_sessions/4846710/video/410397,7
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Training AutoML Models Using Vertex AI: What is automated machine learning?,Medium,"AutoML,Vertex AI,Regression models",https://www.cloudskillsboost.google/course_sessions/4846710/video/410398,1
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Training AutoML Models Using Vertex AI: AutoML regression model,Medium,"AutoML,Vertex AI,Regression models",https://www.cloudskillsboost.google/course_sessions/4846710/video/410399,10
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Training AutoML Models Using Vertex AI: Evaluate AutoML models,Medium,"AutoML,Vertex AI,Regression models",https://www.cloudskillsboost.google/course_sessions/4846710/video/410400,10
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Training AutoML Models Using Vertex AI: Training AutoML Models Using Vertex AI,Medium,"AutoML,Vertex AI,Regression models",https://www.cloudskillsboost.google/course_sessions/4846710/quizzes/410401,5
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Training AutoML Models Using Vertex AI: Training AutoML Models Using Vertex AI,Medium,"AutoML,Vertex AI,Regression models",https://www.cloudskillsboost.google/course_sessions/4846710/documents/410402,10
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,BigQuery Machine Learning: Develop ML Models Where Your Data Lives,Medium,"Big Query,Explanable AI,ML models,Hyperparameter. tuning,recommendation system",https://www.cloudskillsboost.google/course_sessions/4846710/video/410403,97
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,BigQuery Machine Learning: Develop ML Models Where Your Data Lives: Introduction,Medium,"Big Query,Explanable AI,ML models,Hyperparameter. tuning,recommendation system",https://www.cloudskillsboost.google/course_sessions/5299766/video/411396,1
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,BigQuery Machine Learning: Develop ML Models Where Your Data Lives: Training an ML model using BigQuery ML,Medium,"Big Query,Explanable AI,ML models,Hyperparameter. tuning,recommendation system",https://www.cloudskillsboost.google/course_sessions/5299766/video/411397,5
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,BigQuery Machine Learning: Develop ML Models Where Your Data Lives: BigQuery Machine Learning supported models,Medium,"Big Query,Explanable AI,ML models,Hyperparameter. tuning,recommendation system",https://www.cloudskillsboost.google/course_sessions/5299766/video/411398,2
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,BigQuery Machine Learning: Develop ML Models Where Your Data Lives: Lab intro: Using BigQuery ML to predict penguin weight (BigQuery ML & Explainable AI),Medium,"Big Query,Explanable AI,ML models,Hyperparameter. tuning,recommendation system",https://www.cloudskillsboost.google/course_sessions/5299766/video/411399,1
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,BigQuery Machine Learning: Develop ML Models Where Your Data Lives: Lab Demo: Using BigQuery ML to predict penguin weight (BigQuery ML & Explainable AI),Medium,"Big Query,Explanable AI,ML models,Hyperparameter. tuning,recommendation system",https://www.cloudskillsboost.google/course_sessions/5299766/video/411400,12
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,BigQuery Machine Learning: Develop ML Models Where Your Data Lives: Using BigQuery ML to Predict Penguin Weight,Medium,"Big Query,Explanable AI,ML models,Hyperparameter. tuning,recommendation system",https://www.cloudskillsboost.google/course_sessions/5299766/labs/411401,60
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,BigQuery Machine Learning: Develop ML Models Where Your Data Lives: BigQuery ML hyperparameter tuning,Medium,"Big Query,Explanable AI,ML models,Hyperparameter. tuning,recommendation system",https://www.cloudskillsboost.google/course_sessions/5299766/video/411402,3
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,BigQuery Machine Learning: Develop ML Models Where Your Data Lives: How to build and deploy a recommendation system with BigQuery ML,Medium,"Big Query,Explanable AI,ML models,Hyperparameter. tuning,recommendation system",https://www.cloudskillsboost.google/course_sessions/5299766/video/411403,5
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,BigQuery Machine Learning: Develop ML Models Where Your Data Lives: BigQuery Machine Learning: Develop ML Models Where Your Data Lives,Medium,"Big Query,Explanable AI,ML models,Hyperparameter. tuning,recommendation system",https://www.cloudskillsboost.google/course_sessions/5299766/quizzes/411404,5
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,BigQuery Machine Learning: Develop ML Models Where Your Data Lives: BigQuery Machine Learning: Develop ML Models Where Your Data Lives,Medium,"Big Query,Explanable AI,ML models,Hyperparameter. tuning,recommendation system",https://www.cloudskillsboost.google/course_sessions/5299766/documents/411405,5
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Optimization,Medium,"Optimization,loss function,Gradient descent,confusion Matrix,Model evaluation",https://www.cloudskillsboost.google/course_sessions/5299766/video/411406,63
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Optimization: Introduction,Medium,"Optimization,loss function,Gradient descent,confusion Matrix,Model evaluation",https://www.cloudskillsboost.google/course_sessions/5299766/video/411406,1
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Optimization: Defining ML models,Medium,"Optimization,loss function,Gradient descent,confusion Matrix,Model evaluation",https://www.cloudskillsboost.google/course_sessions/5299766/video/411407,4
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Optimization: Introducing the course dataset,Medium,"Optimization,loss function,Gradient descent,confusion Matrix,Model evaluation",https://www.cloudskillsboost.google/course_sessions/5299766/video/411408,6
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Optimization: Introduction to loss functions,Medium,"Optimization,loss function,Gradient descent,confusion Matrix,Model evaluation",https://www.cloudskillsboost.google/course_sessions/5299766/video/411409,6
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Optimization: Gradient descent,Medium,"Optimization,loss function,Gradient descent,confusion Matrix,Model evaluation",https://www.cloudskillsboost.google/course_sessions/5299766/video/411410,5
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Optimization: Troubleshooting loss curves,Medium,"Optimization,loss function,Gradient descent,confusion Matrix,Model evaluation",https://www.cloudskillsboost.google/course_sessions/5299766/video/411411,2
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Optimization: ML model pitfalls,Medium,"Optimization,loss function,Gradient descent,confusion Matrix,Model evaluation",https://www.cloudskillsboost.google/course_sessions/5299766/video/411412,6
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Optimization: Lecture lab: Introducing the TensorFlow Playground ,Medium,"Optimization,loss function,Gradient descent,confusion Matrix,Model evaluation",https://www.cloudskillsboost.google/course_sessions/5299766/video/411413,6
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Optimization: Lecture lab: TensorFlow Playground - Advanced,Medium,"Optimization,loss function,Gradient descent,confusion Matrix,Model evaluation",https://www.cloudskillsboost.google/course_sessions/5299766/video/411414,3
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Optimization: Lecture lab: Practicing with neural networks,Medium,"Optimization,loss function,Gradient descent,confusion Matrix,Model evaluation",https://www.cloudskillsboost.google/course_sessions/5299766/video/411415,6
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Optimization: Performance metrics ,Medium,"Optimization,loss function,Gradient descent,confusion Matrix,Model evaluation",https://www.cloudskillsboost.google/course_sessions/5299766/video/411416,3
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Optimization: Confusion matrix,Medium,"Optimization,loss function,Gradient descent,confusion Matrix,Model evaluation",https://www.cloudskillsboost.google/course_sessions/5299766/video/411417,5
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Optimization:Quiz,Medium,"Optimization,loss function,Gradient descent,confusion Matrix,Model evaluation",https://www.cloudskillsboost.google/course_sessions/5299766/quizzes/411418,10
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Generalization and Sampling,Medium,"Generalization,Sampling,Bigquery",https://www.cloudskillsboost.google/course_sessions/5299766/video/411420,36
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Generalization and Sampling: Introduction ,Medium,"Generalization,Sampling,Bigquery",https://www.cloudskillsboost.google/course_sessions/5299766/video/411420,1
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Generalization and Sampling: Generalization and ML models,Medium,"Generalization,Sampling,Bigquery",https://www.cloudskillsboost.google/course_sessions/5299766/video/411421,6
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Generalization and Sampling: When to stop model training,Medium,"Generalization,Sampling,Bigquery",https://www.cloudskillsboost.google/course_sessions/5299766/video/411422,5
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Generalization and Sampling: Creating repeatable samples in BigQuery,Medium,"Generalization,Sampling,Bigquery",https://www.cloudskillsboost.google/course_sessions/5299766/video/411423,6
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Generalization and Sampling: Demo: Splitting datasets in BigQuery,Medium,"Generalization,Sampling,Bigquery",https://www.cloudskillsboost.google/course_sessions/5299766/video/411424,8
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Generalization and Sampling: Generalization and Sampling,Medium,"Generalization,Sampling,Bigquery",https://www.cloudskillsboost.google/course_sessions/5299766/quizzes/411425,10
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Generalization and Sampling: Summary,Medium,"Generalization,Sampling,Bigquery",https://www.cloudskillsboost.google/course_sessions/5299766/documents/411427,10
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Generalization and Sampling: Quiz,Medium,"Generalization,Sampling,Bigquery",https://www.cloudskillsboost.google/course_sessions/5299766/documents/411428,5
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Generalization and Sampling: Slides,Medium,"Generalization,Sampling,Bigquery",https://www.cloudskillsboost.google/course_sessions/5299766/documents/411430,5
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,TensorFlow on Google Cloud,Hard,"Tensorflow, Machine learning",https://www.cloudskillsboost.google/course_sessions/5300718/video/405112,720
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,TensorFlow on Google Cloud: Course Introduction,Hard,"Tensorflow, Machine learning",https://www.cloudskillsboost.google/course_sessions/5300718/video/405112,1
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Introduction to the TensorFlow Ecosystem,Hard,"Tensorflow, Machine learning",https://www.cloudskillsboost.google/course_sessions/5300718/video/405113,28
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Introduction to the TensorFlow ecosystem,Hard,"Tensorflow, Machine learning",https://www.cloudskillsboost.google/course_sessions/5300718/video/405113,1
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Introduction to the TensorFlow Ecosystem: Introduction to Tensorflow,Hard,"Tensorflow, Machine learning",https://www.cloudskillsboost.google/course_sessions/5300718/video/405114,5
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Introduction to the TensorFlow Ecosystem: TensorFlow API hierarchy,Hard,"Tensorflow, Machine learning",https://www.cloudskillsboost.google/course_sessions/5300718/video/405115,4
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Introduction to the TensorFlow Ecosystem: Components of Tensorflow: Tensors and variables,Hard,"Tensorflow, Machine learning",https://www.cloudskillsboost.google/course_sessions/5300718/video/405116,8
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Introduction to the TensorFlow Ecosystem: Quiz,Hard,"Tensorflow, Machine learning",https://www.cloudskillsboost.google/course_sessions/5300718/quizzes/405117,5
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Introduction to the TensorFlow Ecosystem: Resources,Hard,"Tensorflow, Machine learning",https://www.cloudskillsboost.google/course_sessions/5300718/documents/405118,5
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Design and Build an Input Data Pipeline,Hard,"Data Pipeline,ML,Tensorflow,Model training,Embeddings,Keras",https://www.cloudskillsboost.google/course_sessions/5300718/video/405119,285
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Design and Build an Input Data Pipeline: Introduction,Hard,"Data Pipeline,ML,Tensorflow,Model training,Embeddings,Keras",https://www.cloudskillsboost.google/course_sessions/5300718/video/405119,1
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Design and Build an Input Data Pipeline: : An ML recap,Hard,"Data Pipeline,ML,Tensorflow,Model training,Embeddings,Keras",https://www.cloudskillsboost.google/course_sessions/5300718/video/405120,2
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Design and Build an Input Data Pipeline: Training on large datasets with tf.data API,Hard,"Data Pipeline,ML,Tensorflow,Model training,Embeddings,Keras",https://www.cloudskillsboost.google/course_sessions/5300718/video/405121,3
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Design and Build an Input Data Pipeline: Working in-memory and with files,Hard,"Data Pipeline,ML,Tensorflow,Model training,Embeddings,Keras",https://www.cloudskillsboost.google/course_sessions/5300718/video/405122,3
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Design and Build an Input Data Pipeline: Getting the data ready for model training,Hard,"Data Pipeline,ML,Tensorflow,Model training,Embeddings,Keras",https://www.cloudskillsboost.google/course_sessions/5300718/video/405123,6
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Design and Build an Input Data Pipeline: Embeddings,Hard,"Data Pipeline,ML,Tensorflow,Model training,Embeddings,Keras",https://www.cloudskillsboost.google/course_sessions/5300718/video/405124,8
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Design and Build an Input Data Pipeline: Lab intro: TensorFlow Dataset API,Hard,"Data Pipeline,ML,Tensorflow,Model training,Embeddings,Keras",https://www.cloudskillsboost.google/course_sessions/5300718/video/405125,1
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Design and Build an Input Data Pipeline: TensorFlow Dataset API,Hard,"Data Pipeline,ML,Tensorflow,Model training,Embeddings,Keras",https://www.cloudskillsboost.google/course_sessions/5300718/labs/405126,120
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Design and Build an Input Data Pipeline: Scaling data processing with tf.data and Keras preprocessing layers,Hard,"Data Pipeline,ML,Tensorflow,Model training,Embeddings,Keras",https://www.cloudskillsboost.google/course_sessions/5300718/video/405127,10
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Design and Build an Input Data Pipeline: Lab intro: Classifying structured data using Keras preprocessing layers,Hard,"Data Pipeline,ML,Tensorflow,Model training,Embeddings,Keras",https://www.cloudskillsboost.google/course_sessions/5300718/video/405128,1
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Design and Build an Input Data Pipeline: Classifying Structured Data using Keras Preprocessing Layers,Hard,"Data Pipeline,ML,Tensorflow,Model training,Embeddings,Keras",https://www.cloudskillsboost.google/course_sessions/5300718/labs/405129,120
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Design and Build an Input Data Pipeline: Design and Build Input Data Pipeline,Hard,"Data Pipeline,ML,Tensorflow,Model training,Embeddings,Keras",https://www.cloudskillsboost.google/course_sessions/5300718/quizzes/405130,5
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Design and Build an Input Data Pipeline: Design and Build a TensorFlow Input Data Pipeline,Hard,"Data Pipeline,ML,Tensorflow,Model training,Embeddings,Keras",https://www.cloudskillsboost.google/course_sessions/5300718/documents/405131,5
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Building Neural Networks with the TensorFlow and Keras API,Hard,"Neural Networks,Tensorflow,Keras API,Vertex AI,DNN,Subclassing,Regularization",https://www.cloudskillsboost.google/course_sessions/5300718/video/405132,315
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Building Neural Networks with the TensorFlow and Keras API: Introduction,Hard,"Neural Networks,Tensorflow,Keras API,Vertex AI,DNN,Subclassing,Regularization",https://www.cloudskillsboost.google/course_sessions/5300718/video/405132,1
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Building Neural Networks with the TensorFlow and Keras API: Activation functions,Hard,"Neural Networks,Tensorflow,Keras API,Vertex AI,DNN,Subclassing,Regularization",https://www.cloudskillsboost.google/course_sessions/5300718/video/405133,8
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Building Neural Networks with the TensorFlow and Keras API: Training neural networks with TensorFlow 2 and the Keras Sequential API,Hard,"Neural Networks,Tensorflow,Keras API,Vertex AI,DNN,Subclassing,Regularization",https://www.cloudskillsboost.google/course_sessions/5300718/video/405134,7
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Building Neural Networks with the TensorFlow and Keras API: Serving models in the cloud,Hard,"Neural Networks,Tensorflow,Keras API,Vertex AI,DNN,Subclassing,Regularization",https://www.cloudskillsboost.google/course_sessions/5300718/video/405135,3
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Building Neural Networks with the TensorFlow and Keras API: Lab intro: Introducing the Keras Sequential API on Vertex AI Platform 1 minute,Hard,"Neural Networks,Tensorflow,Keras API,Vertex AI,DNN,Subclassing,Regularization",https://www.cloudskillsboost.google/course_sessions/5300718/video/405136,1
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Building Neural Networks with the TensorFlow and Keras API: Introducing the Keras Sequential API on Vertex AI Platform,Hard,"Neural Networks,Tensorflow,Keras API,Vertex AI,DNN,Subclassing,Regularization",https://www.cloudskillsboost.google/course_sessions/5300718/labs/405137,45
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Building Neural Networks with the TensorFlow and Keras API: Training neural networks with TensorFlow 2 and the Keras Functional API,Hard,"Neural Networks,Tensorflow,Keras API,Vertex AI,DNN,Subclassing,Regularization",https://www.cloudskillsboost.google/course_sessions/5300718/video/405138,9
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Building Neural Networks with the TensorFlow and Keras API: Lab intro: Build a DNN using the Keras Functional API on Vertex AI Platform,Hard,"Neural Networks,Tensorflow,Keras API,Vertex AI,DNN,Subclassing,Regularization",https://www.cloudskillsboost.google/course_sessions/5300718/video/405139,1
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Building Neural Networks with the TensorFlow and Keras API: Build a DNN using the Keras Functional API,Hard,"Neural Networks,Tensorflow,Keras API,Vertex AI,DNN,Subclassing,Regularization",https://www.cloudskillsboost.google/course_sessions/5300718/labs/405140,120
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Building Neural Networks with the TensorFlow and Keras API: Model subclassing,Hard,"Neural Networks,Tensorflow,Keras API,Vertex AI,DNN,Subclassing,Regularization",https://www.cloudskillsboost.google/course_sessions/5300718/video/405141,3
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Building Neural Networks with the TensorFlow and Keras API: Regularization basics,Hard,"Neural Networks,Tensorflow,Keras API,Vertex AI,DNN,Subclassing,Regularization",https://www.cloudskillsboost.google/course_sessions/5300718/video/405142,4
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Building Neural Networks with the TensorFlow and Keras API: How can we measure model complexity: L1 vs. L2 Regularization,Hard,"Neural Networks,Tensorflow,Keras API,Vertex AI,DNN,Subclassing,Regularization",https://www.cloudskillsboost.google/course_sessions/5300718/video/405143,5
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Building Neural Networks in TensorFlow with Keras API: Quiz,Hard,"Neural Networks,Tensorflow,Keras API,Vertex AI,DNN,Subclassing,Regularization",https://www.cloudskillsboost.google/course_sessions/5300718/quizzes/405144,5
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Building Neural Networks with the TensorFlow and Keras API: Resources,Hard,"Neural Networks,Tensorflow,Keras API,Vertex AI,DNN,Subclassing,Regularization",https://www.cloudskillsboost.google/course_sessions/5300718/quizzes/405144,5
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Training at Scale with Vertex AI,Hard,"Vertex AI,Model training,",https://www.cloudskillsboost.google/course_sessions/5300718/video/405146,108
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Training at Scale with Vertex AI: Introduction,Hard,"Vertex AI,Model training,",https://www.cloudskillsboost.google/course_sessions/5300718/video/405146,1
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Training at Scale with Vertex AI: Training at scale with Vertex AI,Hard,"Vertex AI,Model training,",https://www.cloudskillsboost.google/course_sessions/5300718/video/405147,6
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Training at Scale with Vertex AI: Training at Scale with Vertex AI Training Service,Hard,"Vertex AI,Model training,",https://www.cloudskillsboost.google/course_sessions/5300718/video/405148,1
Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Advanced,Free during mentorship period,Training at Scale with Vertex AI: Training at Scale with Vertex AI Training Service,Hard,"Vertex AI,Model training,",https://www.cloudskillsboost.google/course_sessions/5300718/labs/405149,90
