Course_Learning_Material,Source,Course_Level,Type,Module,Difficulty_Level,Keywords_Tags_Skills_Interests_Categories,Links,Duration_in_minutes
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Classification - Video Lecture,Medium,classification,https://developers.google.com/machine-learning/crash-course/classification/video-lecture,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Classification - Thresholding,Medium,"classification, threshold",https://developers.google.com/machine-learning/crash-course/classification/thresholding,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Classification - True vs. False; Positive vs. Negative,Medium,"classification, confusion matrix",https://developers.google.com/machine-learning/crash-course/classification/true-false-positive-negative,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Classification - Accuracy,Medium,"classification, accuracy",https://developers.google.com/machine-learning/crash-course/classification/accuracy,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Classification - Precision and Recall,Medium,"classification, precision, recall",https://developers.google.com/machine-learning/crash-course/classification/precision-and-recall,70
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,"Classification - Check Your Understanding: Accuracy, Precision, Recall",Medium,classification,https://developers.google.com/machine-learning/crash-course/classification/check-your-understanding-accuracy-precision-recall ,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Classification - ROC Curve and AUC,Medium,"classification, roc, roc curve, auc",https://developers.google.com/machine-learning/crash-course/classification/roc-and-auc,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Classification - Check Your Understanding: ROC and AUC,Medium,classification,https://developers.google.com/machine-learning/crash-course/classification/check-your-understanding-roc-and-auc,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Classification - Prediction Bias,Medium,"classification, prediction, bias",https://developers.google.com/machine-learning/crash-course/classification/prediction-bias,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Classification - Programming Exercise,Medium,classification,https://developers.google.com/machine-learning/crash-course/classification/programming-exercise,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Regularization: Sparcity - Video Lecture,Medium,"regulisation, sparcity",https://developers.google.com/machine-learning/crash-course/regularization-for-sparsity/video-lecture,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Regularization: Sparcity - L1 Regularization,Medium,"regulisation, sparcity, l1, regularisation",https://developers.google.com/machine-learning/crash-course/regularization-for-sparsity/l1-regularization,40
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Regularization: Sparcity - Playground Exercise,Medium,"regulisation, sparcity",https://developers.google.com/machine-learning/crash-course/regularization-for-sparsity/playground-exercise,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Regularization: Sparcity - Check Your Understanding,Medium,"regulisation, sparcity",https://developers.google.com/machine-learning/crash-course/regularization-for-sparsity/check-your-understanding,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Neural Networks - Video Lecture,Medium,neural networks,https://developers.google.com/machine-learning/crash-course/introduction-to-neural-networks/video-lecture,
